lang,allergen
 fr,saccharose
 fr,sans gluten
 fr,Sans gluten
 fr,sans glutin
 fr,sans graisse animale
 fr,Schalenfrüchte
 fr,Sel
 fr,selleri
 fr,sels
 fr,Sels
 fr,sésame et soja
 fr,Sésame oeufs
 fr,sesame-et-sulfites
 fr,soja moutarde
 fr,Source-de-phenylalanine
 fr,soy soja
 fr,Stabilisateur E407  E327
 fr,sucre
 fr,Sucres naturellement présents
 fr,thé
 fr,Vegan
 fr,Viande de cheval
 fr,vinaigre
 gl,cacahuetes
 gl,Leche
 hr,badem
 hr,Celera
 it,100
 it,11100446sgjgdk
 it,acidi grassi saturi
 it,altra frutta secca
 it,altra-frutta-secca-a-guscio-e-arachidi
 it,cacao
 it,contiene Glucosio e Galattosio
 it,Fenilalanina
 it,frammenti di noccioli
 it,frammenti di nocciolo
 it,frutta secca a guscio
 it,glutine frutta secca a guscio
 it,latte e derivati
 it,lische
 it,lupino
 it,nocciola
 it,noccioli
 it,Noccioli
 it,nocciolo
 it,Polpa di limone
 it,può contenere frammenti di nocciolo.
 it,Può contenere tracce di
 it,può contenere tracce di frumento arachidi frutta con guscio semi di sesamo soia latticini
 it,può contenere tracce di frutta
 it,Può contenere tracce di latte e altra frutta a quscio. pelate a fette (3%)
 it,Può contenere tracce di soia frutta a guscio e latte.
 it,può contenere uova frutta a guscio
 it,puo-contenere-glutine-e-tracce-di-frutta-a-guscio
 it,puo-contenere-tracce-di-frutta-a-guscio-lattosio-e-proteine-del-latte
 it,SEDANO e CEREALI contenenti GLUTINE.
 it,sedano senape
 it,Sedano-uova
 it,Semi
 it,senza conservanti aggiunti
 it,senza glutine
 it,senza glutine senza conservanti aggiunti
 it,senza-glutine
 it,senza-glutine-contiene-naturalmente-zuccheri
 it,soia  sesamo
 it,sulfito
 it,uova semi di sesamo e soia
 it,utilizzo 100% energia eolica
 it,vedi cartello esposto in reparto
 lu,Tej
 nb,Kartong
 nl,ei Gluten Granen   Soja
 nl,fenylalanine
 nl,frutos secos
 nl,Gemaakt in een bedrijf waar ook noten verwerkt worden. Bevat soja
 nl,Gluten uit andere granen
 nl,Glutenvrij
 nl,graatjes
 nl,Kan amandelen soja
 nl,kan sporen bevatten van tarwe (gluten)
 nl,Kan-sporen-van-soja-en-sesamzaad-bevatten
 nl,Neen
 nl,Niet vermeld
 nl,noten soja melk
